address,address-text,addressbase-custodian,amount,attribution,billing-authority,cardinality,category,census-area,citizen-name,citizen-names,clinical-commissioning-group,collection,combined-authority,company,conservation-area,contact,contribution-funding-status,contribution-purpose,copyright,country,dataset,datatype,datetime,default-field,deliverable,description,developer-agreement,developer-agreement-contribution,developer-agreement-transaction,developer-agreement-type,development-corporation,development-metric,development-plan,development-plan-document,development-plan-status,development-plan-timetable,development-plan-type,development-policies,development-policy,development-policy-area,development-policy-categories,development-policy-category,document,document-url,documentation-url,elapsed,end-date,endpoint,endpoint-url,entry-date,esd-inventory,field,fields,further-education-college-region-uk,further-education-college-uk,geography,geographies,geometry,government-domain,government-organisation,government-service,hash,hazardous-substances,hectares,hostname,identifier,internal-drainage-board,item,jobcentre,jobcentre-district,jobcentre-group,json,key-field,legal-instrument,legislation,licence,local-authority-eng,local-authority-nir,local-authority-sct,local-authority-type,local-resilience-forum,maximum-net-dwellings,minimum-net-dwellings,name,name-cy,national-park-authority,notes,number,official-name,official-name-cy,opendatacommunities-area,opendatacommunities-organisation,organisation,organisations,ownership-status,parameter,parameters,parent-field,pattern,phase,pipeline,planning-application,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,plugin,point,principal-local-authority,prison-estate,provenance,public-authority,purpose,region,regional-park-authority,register,registration-district,registry,replacement-field,request-headers,resource,response-headers,schema,school-type-eng,separator,shielding-hub,short-name,site,site-address,site-plan-url,source,specification,start-date,statistical-geographies,statistical-geography,statistical-geography-county-eng,statistical-geography-local-government-district-nir,statistical-geography-london-borough-eng,statistical-geography-metropolitan-district-eng,statistical-geography-non-metropolitan-district-eng,statistical-geography-registration-district-eng,statistical-geography-registration-district-wls,statistical-geography-unitary-authority-eng,statistical-geography-unitary-authority-wls,status,strategic,street,string,territory,text,transport-authority,twitter,typology,uk,units,url,value,website,wikidata-item
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,01/12/2018,,,,,,,,,,,,,,1.29,,,,,,,,,,,,,,,,,,42,42,,,,,,,,,,local-authority-eng:SHO,,not owned by a public authority,,,,,,,,2017-01-04,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0486-16&from=planningSearch,permissioned,reserved matters approval,,,,,,,,,,,,,,,,,,,,,,BLR/SPA/001,"""Former Network Rail Depot, Kings Road, Spalding""",,,,22/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,01/12/2018,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,local-authority-eng:SHO,,not owned by a public authority,,,,,,,,2017-12-01,https://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0601-17&from=planningSearch,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR/SPA/005,"""Land immediately adjact to Spalding Library, Victoria Street, Spalding""",,,,22/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,01/12/2018,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,local-authority-eng:SHO,,not owned by a public authority,,,,,,,,2016-05-19,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0172-16&from=planningSearch,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR/SPA/006,"""The Robin Hood Inn, 1 Bourne Road, Spalding""",,,,22/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,01/12/2018,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,10,10,,,,,,,,,,local-authority-eng:SHO,,not owned by a public authority,,,,,,,,2017-01-12,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-1163-15&from=planningSearch,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR/SPA/007,"""Banbury Close, Spalding""",,,,22/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,01/12/2018,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,20,20,,,,,,,,,,local-authority-eng:SHO,,not owned by a public authority,,,,,,,,2018-07-30,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0283-17&from=planningSearch,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR/SPA/009,"""Land off Willow Walk (Former Laws Yard), Spalding""",,,,22/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,01/12/2018,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,local-authority-eng:SHO,,not owned by a public authority,,,,,,,,2018-02-05,https://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H14-1187-17&from=planningSearch,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,BLR/SPA/010,"""Former ""Glen Farrow"" premises, land off Spalding Road, Pinchbeck""",,,,22/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,01/12/2018,,,,,,,,,,,,,,1.68,,,,,,,,,,,,,,,,,,50,50,,,,"""The South East Lincolnshire Strategic Housing Land Availability Assessment (SHLAA) (April 2017) indicates that there is a need to improve the water and foul sewerage network but that this should not impact upon the site's deliverability. The site is adjacent to an industrial estate which has the potential to be a bad neighbour, although there are residential properties nearby. The impact of the adjacent industrial uses on residential development might be addressed by dwelling choice, layout and the use of open space. SHLAA ref no: Pin050. The site is a proposed housing allocation in the South East Lincolnshire Local Plan (2011-2036): Publication Version (March 2017).""",,,,,,local-authority-eng:SHO,,not owned by a public authority,,,,,,,,,,Not permissioned,,,,,,,,,,,,,,,,,,,,,,,BLR/SPA/011,"""Spalding Lifestyle, Spalding Road, Pinchbeck""",,,,22/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,01/12/2018,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,local-authority-eng:SHO,,not owned by a public authority,,,,,,,,2017-09-11,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H16-0505-17&from=planningSearch,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR/SPA/012,"""36 Holbeach Road, Spalding""",,,,22/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,01/12/2018,,,,,,,,,,,,,,1.54,,,,,,,,,,,,,,,,,,50,50,,,,,,,,,,local-authority-eng:SHO,,not owned by a public authority,,,,,,,,2017-10-09,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H02-0554-16&from=planningSearch,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,BLR/CRO/003,"""Land to the east of Crease Drove, Crowland""",,,,22/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,01/12/2018,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,31,31,,,,,,,,,,local-authority-eng:SHO,,not owned by a public authority,,,,,,,,2016-12-07,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H04-0314-16&from=planningSearch,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR/DON/001,"""Former Red Cow Hotel, 8 High Street, Donington""",,,,22/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,01/12/2018,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,local-authority-eng:SHO,,not owned by a public authority,,,,,,,,2017-05-02,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H04-0180-17&from=planningSearch,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR/DON/002,"""Land off Park Lane, Donington""",,,,22/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,01/12/2018,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,local-authority-eng:SHO,,not owned by a public authority,,,,,,,,2016-11-28,http://planning.sholland.gov.uk/OcellaWeb/showDocuments?reference=H09-0875-16&module=pl,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR/HOB/005,"""The Bell Inn, 21 High Street, Holbeach""",,,,22/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,01/12/2018,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,39,39,,,,"""Lapsed permission included retention, refurbishment and enhancement of the Bull Hotel.  Listed building and in conservation area so care needed in terms of design and layout""",,,,,,local-authority-eng:SHO,,not owned by a public authority,,,,,,,,2015-01-12,http://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H11-0123-13&from=planningSearch,Not permissioned,,,,,,,,,,,,,,,,,,,,,,,BLR/LOS/001,"""The Bull Hotel, Market Place, Long Sutton""",,,,22/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,01/12/2018,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,5,5,,,,"""The South East Lincolnshire Strategic Housing Land Availability Assessment (SHLAA) (April 2017) identifies that redevelopment of the existing commercial site for residential development would be acceptable in highway terms but it would be useful to optimise the position of the access. The site is near to the Pinchbeck Conservation Area and listed buildings. SHLAA ref no: Pin003""",,,,,,local-authority-eng:SHO,,not owned by a public authority,,,,,,,,,,Not permissioned,,,,,,,,,,,,,,,,,,,,,,,BLR/PIN/001,"""Land to the west of Bear Lane, Pinchbeck""",,,,22/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,01/12/2018,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,local-authority-eng:SHO,,not owned by a public authority,,,,,,,,2018-07-13,https://planning.sholland.gov.uk/OcellaWeb/planningDetails?reference=H14-0241-18&from=planningSearch,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR/PIN/002,"""Former Dairy Depot, Pennyfield, Pinchbeck""",,,,22/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,01/12/2018,,,,,,,,,,,,,,2.44,,,,,,,,,,,,,,,,,,49,49,,,,"""The South East Lincolnshire Strategic Housing Land Availability Assessment (SHLAA) (April 2017) indicates that there is a need to improve the water and foul sewerage network -  SHLAA ref no: Pin065. The site is a proposed housing allocation in the South East Lincolnshire Local Plan (2011-2036): Publication Version (March 2017).""",,,,,,local-authority-eng:SHO,,not owned by a public authority,,,,,,,,,,Not permissioned,,,,,,,,,,,,,,,,,,,,,,,BLR/PIN/003,"""Birchgrove Garden Centre, Surfleet Road, Pinchbeck""",,,,22/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
