address,address-text,addressbase-custodian,amount,attribution,billing-authority,cardinality,category,census-area,citizen-name,citizen-names,clinical-commissioning-group,collection,combined-authority,company,conservation-area,contact,contribution-funding-status,contribution-purpose,copyright,country,dataset,datatype,datetime,default-field,deliverable,description,developer-agreement,developer-agreement-contribution,developer-agreement-transaction,developer-agreement-type,development-corporation,development-metric,development-plan,development-plan-document,development-plan-status,development-plan-timetable,development-plan-type,development-policies,development-policy,development-policy-area,development-policy-categories,development-policy-category,document,document-url,documentation-url,elapsed,end-date,endpoint,endpoint-url,entry-date,esd-inventory,field,fields,further-education-college-region-uk,further-education-college-uk,geography,geographies,geometry,government-domain,government-organisation,government-service,hash,hazardous-substances,hectares,hostname,identifier,internal-drainage-board,item,jobcentre,jobcentre-district,jobcentre-group,json,key-field,legal-instrument,legislation,licence,local-authority-eng,local-authority-nir,local-authority-sct,local-authority-type,local-resilience-forum,maximum-net-dwellings,minimum-net-dwellings,name,name-cy,national-park-authority,notes,number,official-name,official-name-cy,opendatacommunities-area,opendatacommunities-organisation,organisation,organisations,ownership-status,parameter,parameters,parent-field,pattern,phase,pipeline,planning-application,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,plugin,point,principal-local-authority,prison-estate,provenance,public-authority,purpose,region,regional-park-authority,register,registration-district,registry,replacement-field,request-headers,resource,response-headers,schema,school-type-eng,separator,shielding-hub,short-name,site,site-address,site-plan-url,source,specification,start-date,statistical-geographies,statistical-geography,statistical-geography-county-eng,statistical-geography-local-government-district-nir,statistical-geography-london-borough-eng,statistical-geography-metropolitan-district-eng,statistical-geography-non-metropolitan-district-eng,statistical-geography-registration-district-eng,statistical-geography-registration-district-wls,statistical-geography-unitary-authority-eng,statistical-geography-unitary-authority-wls,status,strategic,street,string,territory,text,transport-authority,twitter,typology,uk,units,url,value,website,wikidata-item
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-04,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,20,20,,,,A proposed site allocation in the Mid Devon Local Plan Review subject to 20 affordable dwellings.,,,,,,local-authority-eng:MDE,,owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,MDDC/BF001,"""Roundhill, Tiverton""",,,,2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-04,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,50,50,,,,"Site previously allocated in the AIDPD (2011) and is currently part of a proposed allocation in the Local Plan Review for 200 dwellings with 28% affordable housing subject to approximately 8ha of GI, appropriate land shaping to raise areas for  development above flood zone 3, provision of a junction on Heathcoat Way and a safeguarded route road through the site, provision and enhancement of cycle and pedestrian links in the area. The site is comprised of brownfield and greenfield land although only the brownfield proportion is included in the BLR. Minimum dwelling figure based on the same density assumptions proposed for the LPR allocation as a whole.",,,,,,local-authority-eng:MDE,,mixed ownership,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,MDDC/BF002,"""Land between Blundells School and River Lowman, Tiverton""",,,,2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-04,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,5,5,,,,A proposed site allocation in the Mid Devon Local Plan Review subject to 5 dwellings.,,,,,,local-authority-eng:MDE,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,MDDC/BF003,"""Newton Square, Bampton""",,,,2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-04,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,60,60,,,,"A proposed site allocation in the Mid Devon Local Plan Review for 60 dwellings (28% affordable), 7,000 sq.m of mixed commercial floorspace.",,,,,,local-authority-eng:MDE,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,MDDC/BF004,"""Phoenix Lane, Tiverton""",,,,2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-04,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,8,8,,,,A proposed site allocation in the Mid Devon Local Plan Review for 8 dwellings.,,,,,,local-authority-eng:MDE,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,MDDC/BF005,"""The Woods Group, Crediton""",,,,2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-04,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,10,10,,,,A proposed site allocation in the Mid Devon Local Plan Review subject to 10  dwellings including 30% affordable.,,,,,,local-authority-eng:MDE,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,MDDC/BF006,"""Former Tiverton Parkway Hotel, Sampford Peverell""",,,,2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-04,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,5,5,,,,A proposed site allocation in the Mid Devon Local Plan Review subject to 5 dwellings.,,,,,,local-authority-eng:MDE,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,MDDC/BF007,"""The Garage, Silverton""",,,,2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-04,,,,,,,,,,,,,,3.41,,,,,,,,,,,,,,,,,,12,12,,,,,,,,,,local-authority-eng:MDE,,not owned by a public authority,,,,,,,,2013-02-08,https://planning.middevon.gov.uk/online-applications/applicationDetails.do?keyVal=MDIZ5EKS07T00&activeTab=summary,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,MDDC/BF008,"""Former Stone Crushing Works, Scotts Business Park, Bampton""",,,,2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-04,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,local-authority-eng:MDE,,not owned by a public authority,,,,,,,,2017-07-25,https://planning.middevon.gov.uk/online-applications/applicationDetails.do?keyVal=ONO73FKS07T00&activeTab=summary,permissioned,reserved matters approval,,,,,,,,,,,,,,,,,,,,,,MDDC/BF009,"""East of Simla Cottage, Ashleigh Park""",,,,2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-04,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,local-authority-eng:MDE,,not owned by a public authority,,,,,,,,2016-12-02,https://planning.middevon.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,reserved matters approval,,,,,,,,,,,,,,,,,,,,,,MDDC/BF012,"""Former St Ivel Site, Station Road, Hemyock""",,,,2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
