OrganisationURI,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/cheltenham,BFR001,Land at Chester Walk Car Park,-2.077494,51.90162,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=001&scale=512,0.15,owned by a public authority,,not permissioned,,,,14,14,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,BFR002,"Premiere Products, Bouncers Lane",-2.046236,51.906644,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=002&scale=1024,2.17,not owned by a public authority,,permissioned,,,,58,58,,Only part of site permissioned remaining site Allocated in Pre-Submission Cheltenham Plan,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,BFR003,Land at Lansdown Road (Gloucestershire Constabulary Headquarters),-2.096806,51.893388,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=003&scale=1024,1,,,permissioned,,,,68,68,,Allocated in Pre-Submission Cheltenham Plan,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,BFR004,"102, 106 Prestbury Road",-2.061821,51.908516,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=004&scale=1024,0.8,not owned by a public authority,,permissioned,,,,35,35,,Allocated in Pre-Submission Cheltenham Plan,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,BFR005,"96, 100, 104 Prestbury Road",-2.062226,51.907653,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=005&scale=1024,0.49,not owned by a public authority,,not permissioned,,,,15,15,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,BFR006,Land at Prestbury Road,-2.062442,51.906106,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=006&scale=1024,0.23,not owned by a public authority,,not permissioned,,,,8,8,,,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,BFR007,Springbank Shopping Centre,-2.11706,51.914201,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=007&scale=1024,0.51,not owned by a public authority,,permissioned,,,,34,34,,Allocated in Pre-Submission Cheltenham Plan,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,BFR008,Land and buildings at Coronation Square,-2.114354,51.902318,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=008&scale=1024,1.48,not owned by a public authority,,not permissioned,,,,17,17,,Allocated in Pre-Submission Cheltenham Plan,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,BFR009,"Axiom, 57 Winchcombe Street",-2.071389,51.901759,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=009&scale=1024,0.07,not owned by a public authority,,permissioned,,,,11,11,,"The is a flat, vacant/derelict, town centre site, previously in use as a Community Arts and Music venue.  The site is within the Central Conservation Area and Core Commercial Area and is surrounded by a mix of retail, restaurant, employment and residential uses.",2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,BFR010,"Tebbit House, 51 Winchcombe Street",-2.071491,51.901597,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=010&scale=1024,0.04,not owned by a public authority,,permissioned,,,,8,8,,"Site has planning permission, construction not started April 2017",2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,BFR011,"Land rear of Nuffield Hospital, Hatherley Lane",-2.130527,51.890928,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=011&scale=1024,0.48,not owned by a public authority,,permissioned,,,,27,27,,"Site has planning permission, construction not started April 2017",2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,BFR012,"Rivershill House, St Georges Road",-2.084436,51.899215,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=012&scale=1024,0.41,not owned by a public authority,,permissioned,,,,45,45,,"Flat site with vacant office building in a central urban location, predominantly surrounded by residential. The site is within the Core Commercial Area and Central Conservation Area.",2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,BFR013,Land at Whaddon Road,-2.061556,51.906125,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=013&scale=1024,1.2,not owned by a public authority,,not permissioned,,,,7,7,,"The site is a flat, car park site associated wioth Cheltenham Town Football Club.  developed, site within the urban area containing pre-fabricated bungalows. The surrounding area is predominantly residential with commercial / employment uses to the west and Cheltenham Town Football Club east.",2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,BFR014,"Ellerslie Care Home, Albert Road",-2.065895,51.911436,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=014&scale=1024,0.28,not owned by a public authority,,permissioned,,,,14,14,,"This is a flat, developed, site is within a predominantly residential area and adjacent to Pittville Park and within the Central Conservation area.",2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,BFR015,"Rowanfield Exchange, Devon Avenue",-2.100055,51.903482,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=015&scale=1024,0.37,not owned by a public authority,,permissioned,,,,16,16,,"This site includes a neighbourhood centre, residential and associated garages.  Only part of site permissioned",2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,BFR016,83 Hewlett Road,-2.081408,51.904378,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=016&scale=1024,0.02,not owned by a public authority,,permissioned,,,,7,7,,"Site has planning permission, construction not started April 2017",2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,BFR017,33-35 Albion Street,-2.072711,51.901075,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=017&scale=1024,0.1,not owned by a public authority,,permissioned,,,,14,14,,"Site has planning permission, construction not started April 2017",2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,BFR018,"Former Post Office Vehicle Depot, Carlton Street",-2.06528,51.898112,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=018&scale=1024,0.11,not owned by a public authority,,permissioned,,,,6,6,,"Site has planning permission, construction not started April 2017",2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,BFR019,"Upper Floors and Part Lower Ground Floor, Heyford House Care Home, 64 Hales Road",-2.060423,51.896505,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=019&scale=1024,0.09,not owned by a public authority,,permissioned,,,,8,8,,"Site has planning permission, construction not started April 2017",2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,BFR020,"Russell Arms, 1 Hales Road",-2.063719,51.893941,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=020&scale=1024,0.03,not owned by a public authority,,permissioned,,,,8,8,,"Site has planning permission, construction not started April 2017",2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,BFR021,Land at Newton Road,-2.111899,51.902941,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=021&scale=1024,0.06,not owned by a public authority,,permissioned,,,,6,6,,"Site has planning permission, construction not started April 2017",2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,BFR022,First to Third Floors 22 Clarence Street,-2.076591,51.900542,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=022&scale=1024,0.23,not owned by a public authority,,permissioned,,,,5,5,,"Site has planning permission, construction not started April 2017",2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,BFR023,"Victoria House, St James Square",-2.080676,51.901042,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=023&scale=1024,0.13,not owned by a public authority,,permissioned,,,,8,8,,"Site has planning permission, construction not started April 2017",2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,BFR024,Land On South Side Of Jessop Avenue,-2.083989,51.900932,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=024&scale=1024,0.34,not owned by a public authority,,permissioned,,,,7,7,,Allocated in Pre-Submission Cheltenham Plan,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,BFR025,Former Upd House Knapp Road,-2.080605,51.902355,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=025&scale=1024,0.06,not owned by a public authority,,permissioned,,,,5,5,,"Site has planning permission, construction not started April 2017",2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,BFR026,13/14 Suffolk Street,-2.080668,51.888707,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=026&scale=1024,0.02,not owned by a public authority,,permissioned,,,,5,5,,"Site has planning permission, construction not started April 2017",2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,BFR027,24-28 Sherborne Street,-2.069196,51.9023,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=027&scale=1024,0.03,not owned by a public authority,,permissioned,,,,6,6,,"Site has planning permission, construction not started April 2017",2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,BFR028,"Car Park, Portland Street",-2.072206,51.903619,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=028&scale=1024,0.67,,,permissioned,,,,143,143,,Allocated in Pre-Submission Cheltenham Plan,2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,BFR029,391 High Street,-2.081685,51.904458,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=029&scale=1024,0.08,not owned by a public authority,,permissioned,,,,14,14,,"Site has planning permission, construction not started April 2017",2017-12-31,2017-12-31,
http://opendatacommunities.org/id/district-council/cheltenham,BFR030,379-383 High Street,-2.081408,51.904378,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=030&scale=1024,0.06,not owned by a public authority,,permissioned,,,,12,12,,"Site has planning permission, construction not started April 2017",2017-12-31,2017-12-31,
