address,address-text,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,,http://opendatacommunities.org/id/district-council/east-northamptonshire,East Northamptonshire Council,BFR E65,"Factory Premises, Oakley Road, Rushden, NN10 6UR",-0.607456,52.293917,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_e65.pdf,0.294131,not owned by a public authority,,not permissioned,,,,14,14,15,,RETAIN WITHIN BROWNFIELD REGISTER,2016-06-30 00:00:00,2017-12-31 00:00:00,
,,http://opendatacommunities.org/id/district-council/east-northamptonshire,East Northamptonshire Council,BFR E66,"High Beech, 8 Hayway, Rushden, NN10 6ES",-0.599659,52.29797,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_e66.pdf,0.384095,not owned by a public authority,,not permissioned,full planning permission,2015-03-11,,5,5,5,,RETAIN WITHIN BROWNFIELD REGISTER,2016-06-30 00:00:00,2017-12-31 00:00:00,
,,http://opendatacommunities.org/id/district-council/corby,Corby Borough Council,BFR C1,"Car Park, Pytchley Court, Corby, NN17 2PL",-0.72135,52.498274,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_c1.pdf,0.379256,owned by a public authority,,not permissioned,,,,9,9,9,,,2016-06-30 00:00:00,2018-12-17 00:00:00,
,,http://opendatacommunities.org/id/district-council/corby,Corby Borough Council,BFR C16,"Garage Court, Lindisfarne Road, Corby, NN17 2HW",-0.711394,52.502119,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_c16.pdf,0.283413,owned by a public authority,,not permissioned,,,,11,11,11,,,2016-06-30 00:00:00,2018-12-17 00:00:00,
,,http://opendatacommunities.org/id/district-council/corby,Corby Borough Council,BFR C20,"Maple House, Canada Square, Corby, NN18 9HU",-0.719992,52.475996,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_c20.pdf,0.419532,owned by a public authority,,not permissioned,,,,14,14,14,,Proposed P2LP housing allocation site,2016-06-30 00:00:00,2018-12-17 00:00:00,
,,http://opendatacommunities.org/id/district-council/corby,Corby Borough Council,BFR C23,"Former Our Lady Pope John School, Tower Hill Road, Corby, NN18 0TF",-0.732406,52.480441,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_c23.pdf,2.11051,not owned by a public authority,,permissioned,full planning permission,2021-07-24,,88,88,88,,,2016-06-30 00:00:00,2018-12-17 00:00:00,
,,http://opendatacommunities.org/id/district-council/corby,Corby Borough Council,BFR C24,"Railway Station Interchange, Station Road, Corby, NN17 1NA",-0.687128,52.488138,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_c24.pdf,0.805703,owned by a public authority,,permissioned,permission in principle,,,150,150,150,,"Site previously assessed through SHLAA as site 2030.

The site has been subject to a bid to the HCA for Starter Homes funding and it was assumed that 40 dwellings could be delivered on the site. However, as part of an urban design review, consideration was also made of a mix of uses being deployed on site which reduces the developable area for housing (assuming 50dph) an alternative yield of 29 dwellings has been assumed.",2016-06-30 00:00:00,2018-12-17 00:00:00,
,,http://opendatacommunities.org/id/district-council/corby,Corby Borough Council,BFR C25,"Beanfield School, off Glastonbury Road, Corby, NN18 0DJ",-0.730313,52.487929,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_c25-1.pdf,3.99481,owned by a public authority,,permissioned,full planning permission,2017-07-04,,80,80,80,,,2016-06-30 00:00:00,2018-12-17 00:00:00,
,,http://opendatacommunities.org/id/district-council/corby,Corby Borough Council,BFR C26,"Parkland Gateway, George Street, Corby, NN17 1QG",-0.705394,52.489348,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_c26.pdf,0.701286,owned by a public authority,,not permissioned,,,,80,80,80,,"Site previously assessed through SHLAA as site 2037.

The site was previously been subject to a bid to the HCA for Starter Homes funding and it was assumed that 40 dwellings could be delivered on the site. However, as part of an urban design review, consideration was also made of higher densities (flats) being deployed on site and assuming 100dph an alternative yield of 63 dwellings has been assumed.",2016-06-30 00:00:00,2018-12-17 00:00:00,
,,http://opendatacommunities.org/id/district-council/corby,Corby Borough Council,BFR C27,"Kingswood School, Gainsborough Road, Corby, NN18 9NQ",-0.733598,52.477815,http://www.nnjpdu.org.uk/site/assets/files/1416/bfr_c27-1.pdf,1.66549,owned by a public authority,,permissioned,full planning permission,2016-12-22,,131,131,131,,,2016-06-30 00:00:00,2018-12-17 00:00:00,
