address,address-text,addressbase-custodian,amount,attribution,billing-authority,cardinality,category,census-area,citizen-name,citizen-names,clinical-commissioning-group,combined-authority,company,contact,contribution-funding-status,contribution-purpose,copyright,country,dataset,datatype,datetime,deliverable,description,developer-agreement,developer-agreement-contribution,developer-agreement-transaction,developer-agreement-type,development-corporation,development-metric,development-plan,development-plan-document,development-plan-status,development-plan-timetable,development-plan-type,development-policies,development-policy,development-policy-categories,development-policy-category,document,document-url,documentation-url,elapsed,end-date,endpoint,endpoint-url,entry-date,esd-inventory,field,fields,further-education-college-region-uk,further-education-college-uk,geography,geographies,geometry,government-domain,government-organisation,government-service,hash,hazardous-substances,hectares,hostname,identifier,internal-drainage-board,item,jobcentre,jobcentre-district,jobcentre-group,json,key-field,latitude,legal-instrument,legislation,licence,local-authority-eng,local-authority-nir,local-authority-sct,local-authority-type,local-resilience-forum,longitude,maximum-net-dwellings,minimum-net-dwellings,name,name-cy,national-park-authority,notes,number,official-name,official-name-cy,opendatacommunities-area,opendatacommunities-organisation,organisation,organisations,ownership-status,parent-field,pattern,phase,pipeline,planning-application,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,principal-local-authority,prison-estate,provenance,public-authority,purpose,region,regional-park-authority,register,registration-district,registry,replacement-field,request-headers,resource,response-headers,schema,school-type-eng,script,shielding-hub,short-name,site,site-address,site-plan-url,source,specification,start-date,statistical-geographies,statistical-geography,statistical-geography-county-eng,statistical-geography-local-government-district-nir,statistical-geography-london-borough-eng,statistical-geography-metropolitan-district-eng,statistical-geography-non-metropolitan-district-eng,statistical-geography-registration-district-eng,statistical-geography-registration-district-wls,statistical-geography-unitary-authority-eng,statistical-geography-unitary-authority-wls,status,strategic,street,string,territory,text,timestamp,transport-authority,twitter,typology,uk,units,url,value,website,wikidata-item,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate,DevelopmentDescription,SiteInformation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,1,"""Former Mansfield Brewery (part B), Great Central Road, Mansfield""",-1.19,53.14,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9535&p=0,0.76,not owned by a public authority,,permissioned,Permission in principle,2017-12-12,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9535&p=0,20,20,30,,2017/0631/PIP,26/09/2017,13/12/2017,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,2,"""Former Mansfield General Hospital, West Hill Drive, Mansfield""",-1.2,53.15,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,1.11,owned by a public authority,,permissioned,full planning permission,2016-03-10,,54,54,54,yes,,26/09/2017,26/09/2017,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,33,"""Wood Lane (Miners Welfare), Wood Lane, Church Warsop""",-1.17,53.21,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9536&p=0,1.05,not owned by a public authority,,permissioned,Permission in principle,2017-12-12,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9536&p=0,25,25,35,,2017/0633/PIP,26/09/2017,13/12/2017,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,54,"""Former Evans Halshaw site, Nottingham Road, Mansfield""",-1.19,53.12,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,1.92,not owned by a public authority,,permissioned,full planning permission,2017-06-30,,66,66,66,yes,,26/09/2017,26/09/2017,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,68,"""Kirkland Avenue Industrial Park, Kirkland Avenue, Mansfield""",-1.21,53.14,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9537&p=0,0.7,not owned by a public authority,,permissioned,Permission in principle,2017-12-12,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9537&p=0,15,15,25,,2017/0636/PIP,26/09/2017,13/12/2017,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,75,"""Former Mansfield Hosiery Mill Car Park & Electricity Board workshops & social club, Botany Avenue, Mansfield""",-1.21,53.14,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9538&p=0,0.97,not owned by a public authority,,permissioned,Permission in principle,2017-12-12,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9538&p=0,25,25,35,,2017/0637/PIP,26/09/2017,13/12/2017,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,86,"""Land at the corner of Quarry Lane, Mansfield., Quarry Lane, Mansfield""",-1.21,53.13,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,0.25,not owned by a public authority,,permissioned,full planning permission,2015-10-21,,21,21,21,yes,,26/09/2017,26/09/2017,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,92,"""Pleasley Hill Regeneration Area, Chesterfield Road North, Pleasley""",-1.24,53.17,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,3.81,not owned by a public authority,,permissioned,full planning permission,2014-12-19,,151,151,151,yes,,26/09/2017,26/09/2017,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,95,"""Vauxhall Garage, Sutton Road, Mansfield""",-1.22,53.14,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,0.87,not owned by a public authority,,permissioned,outline planning permission,2016-09-06,,41,41,41,,,26/09/2017,26/09/2017,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,96,"""Land at Hermitage Lane, Mansfield""",-1.22,53.14,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,0.9,not owned by a public authority,,permissioned,full planning permission,2015-05-18,,25,25,25,yes,,26/09/2017,26/09/2017,,,
