address,address-text,deliverable,end-date,entry-date,hazardous-substances,hectares,latitude,longitude,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate,site-plan-url,start-date
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,14/00426/FUL,"""Site of Former Whaley Thorns Social Club, Portland Road, Nether Langwith""",453237,370749,www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/14-00426-FUL.pdf,0.15,not owned by a public authority,,permissioned,,,,7,,,,,2017-10-31,2017-10-31,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,14/00581/OUT,"""4 High Street, Whitwell, Worksop, S80 4QU""",452969,376730,www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/14-00581-OUT.pdf,0.1,not owned by a public authority,,permissioned,,,,6,,,,,2017-10-31,2017-10-31,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,15/00218/FUL,"""The Sportsman, New Bolsover, Bolsover, Chesterfield, S44 6QD""",446438,370397,www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/15-00218-FUL.pdf,0.05,not owned by a public authority,,permissioned,,,,6,,,,,2017-10-31,2017-10-31,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,16/00010/OUT,"""Land to the West of Sun Inn Public House, Town Street, Pinxton""",445843,355621,www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/16-00010-OUT.pdf,0.18,not owned by a public authority,,permissioned,,,,6,,,,,2017-10-31,2017-10-31,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,16/00288/FUL,"""Garage block at Derwent Drive, Tibshelf""",443573,360739,www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/16-00288-FUL.pdf,0.63,owned by a public authority,,permissioned,,,,12,,,,,2017-10-31,2017-10-31,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,16/00294/FUL,"""Former Creswell Miners Welfare Institute, 321 Model Village, Creswell""",452164,373827,www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/16-00294-FUL.pdf,0.26,not owned by a public authority,,permissioned,,,,11,,,,,2017-10-31,2017-10-31,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,16/00473/FUL,"""16 High Street, Clowne, Chesterfield, S43 4JU""",449055,375475,www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/16-00473-FUL.pdf,0.61,not owned by a public authority,,permissioned,,,,26,,,,,2017-10-31,2017-10-31,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,16/00504/FUL,"""Shirebrook Miners Welfare Institute, Central Drive, Shirebrook, Mansfield, NG20 8BA""",452303,367445,www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/16-00504-FUL.pdf,0.2,not owned by a public authority,,permissioned,,,,7,,,,,2017-10-31,2017-10-31,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,16/00510/FUL,"""Jacques Brickyard, Water Lane, South Normanton, Alfreton, DE55 2EE""",444791,356811,www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/16-00510-FUL.pdf,0.93,not owned by a public authority,,pending decision,,,,32,,,,,2017-10-31,2017-10-31,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,17/00082/OUT,"""The White Swan, Market Place, Bolsover, Chesterfield, S44 6PH""",447382,370574,www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/17-00082-OUT.pdf,0.2,not owned by a public authority,,permissioned,,,,14,,,,,2017-10-31,2017-10-31,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,17/00104/FUL,"""Land along Railway, North East of Southfield Lane, Whitwell""",453301,376108,www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/17-00104-FUL.pdf,0.83,not owned by a public authority,,pending decision,,,,19,,,,,2017-10-31,2017-10-31,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,17/00114/FUL,"""Site of Bolsover District Council Depot, Meadow Lane, South Normanton""",444112,357207,www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/17-00114-FUL.pdf,0.28,owned by a public authority,,permissioned,,,,10,,,,,2017-10-31,2017-10-31,,,
