address,address-text,deliverable,end-date,entry-date,hazardous-substances,hectares,latitude,longitude,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate,site-plan-url,start-date
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/vale-of-white-horse,Vale of White Horse District Council,ABIG07,"Land at Oxford Abingdon Hotel, Abingdon-on-Thames",448162,196842,http://www.whitehorsedc.gov.uk/sites/default/files/ABIG07.png,0.87,not owned by a public authority,,not permissioned,,,,35,,35,,,08/12/2017,08/12/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/vale-of-white-horse,Vale of White Horse District Council,WANT11,"Land to the rear of Waitrose Car Park, Wantage",439966,187988,http://www.whitehorsedc.gov.uk/sites/default/files/WANT11.png,0.13,owned by a public authority,,not permissioned,,,,5,,5,,,08/12/2017,08/12/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/vale-of-white-horse,Vale of White Horse District Council,P11/V1960/EX,"Challow Country Club, Woodhill Ln",438088,189034,http://www.whitehorsedc.gov.uk/sites/default/files/P11V1960EX.png,0.63,not owned by a public authority,,permissioned,,,,14,,,,,08/12/2017,08/12/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/vale-of-white-horse,Vale of White Horse District Council,P12/V0204,"Radcliffe Publishing Co Ltd, 18 Marcham Road, Abingdon, OX14 1AA",448782,197036,http://www.whitehorsedc.gov.uk/sites/default/files/P12V0204.png,0.15,not owned by a public authority,,permissioned,,,,12,,,,,08/12/2017,08/12/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/vale-of-white-horse,Vale of White Horse District Council,P12/V0308,"29-30 Market Place, Wantage, Oxfordshire",439732,187921,http://www.whitehorsedc.gov.uk/sites/default/files/P12V0308.png,0.04,not owned by a public authority,,permissioned,,,,8,,,,,08/12/2017,08/12/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/vale-of-white-horse,Vale of White Horse District Council,P13/V0033/FUL,"Faringdon Tennis Club, Southampton St",428925,195283,http://www.whitehorsedc.gov.uk/sites/default/files/P13V0033FUL.png,0.18,not owned by a public authority,,permissioned,,,,11,,,,Site is under construction (Nov 2017),08/12/2017,08/12/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/vale-of-white-horse,Vale of White Horse District Council,P13/V0446/O,Land West of Faringdon Road Cumnor OX2 9RE,446190,202383,http://www.whitehorsedc.gov.uk/sites/default/files/P13V0446O.png,1.54,not owned by a public authority,,permissioned,,,,22,,,,,08/12/2017,08/12/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/vale-of-white-horse,Vale of White Horse District Council,P13/V0679/FUL,"Berkeley House, 20 Marcham Rd, Abingdon",448752,197036,http://www.whitehorsedc.gov.uk/sites/default/files/P13V0679FUL.png,0.17,not owned by a public authority,,permissioned,,,,14,,,,,08/12/2017,08/12/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/vale-of-white-horse,Vale of White Horse District Council,P13/V0821/FUL,"57-59 Stert Street, Abingdon",449808,197220,http://www.whitehorsedc.gov.uk/sites/default/files/P13V0821FUL.png,0.12,not owned by a public authority,,permissioned,,,,14,,,,,08/12/2017,08/12/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/vale-of-white-horse,Vale of White Horse District Council,P13/V2301/O,"5B Lechlade Road, Faringdon",428476,195522,http://www.whitehorsedc.gov.uk/sites/default/files/P13V2301O.png,0.36,not owned by a public authority,,permissioned,,,,14,,,,Site is under construction (Nov 2017),08/12/2017,08/12/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/vale-of-white-horse,Vale of White Horse District Council,P14/V2061/RM,"Land south of Appleford Road, Sutton Courtenay (Major Ameys Site)",451117,194224,http://www.whitehorsedc.gov.uk/sites/default/files/P14V2061RM.png,6.43,not owned by a public authority,,permissioned,,,,195,,,,,08/12/2017,08/12/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/vale-of-white-horse,Vale of White Horse District Council,P14/V2318/FUL,Motorlux 32 Newbury Street Wantage OX12 8DA,439823,187691,http://www.whitehorsedc.gov.uk/sites/default/files/P14V2318FUL.png,0.14,not owned by a public authority,,permissioned,,,,14,,,,,08/12/2017,08/12/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/vale-of-white-horse,Vale of White Horse District Council,P14/V2877/FUL,Land at Cowans Camp Depot High Street Watchfield SN6 8TE,424283,190573,http://www.whitehorsedc.gov.uk/sites/default/files/P14V2877FUL.png,0.91,not owned by a public authority,,permissioned,,,,33,,,,,08/12/2017,08/12/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/vale-of-white-horse,Vale of White Horse District Council,P15/V0011/FUL,"The Old Works Yard, Ardington",443157,188526,http://www.whitehorsedc.gov.uk/sites/default/files/P15V0011FUL.png,0.51,not owned by a public authority,,permissioned,,,,9,,,,,08/12/2017,08/12/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/vale-of-white-horse,Vale of White Horse District Council,P15/V0729/FUL,"Police Station and Magistrates' Court Church Street Wantage
OX12 8BW",439764,187790,http://www.whitehorsedc.gov.uk/sites/default/files/P15V0729FUL.png,0.29,not owned by a public authority,,permissioned,,,,32,,,,,08/12/2017,08/12/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/vale-of-white-horse,Vale of White Horse District Council,P15/V1304/O,Land at former Didcot A Power Station Purchas Road Didcot,450920,191434,http://www.whitehorsedc.gov.uk/sites/default/files/P15V1304O.png,46.85,not owned by a public authority,yes,pending decision,,,,400,,,,Cross boundary application between Vale of White Horse and South Oxfordshire.,08/12/2017,08/12/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/vale-of-white-horse,Vale of White Horse District Council,P15/V1380/FUL,42 Market Place Wantage OX12 8AW,439853,187961,http://www.whitehorsedc.gov.uk/sites/default/files/P15V1380FUL.png,0.12,not owned by a public authority,,permissioned,,,,6,,,,,08/12/2017,08/12/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/vale-of-white-horse,Vale of White Horse District Council,P15/V2041/FUL,The Woolpack Inn Church Street Wantage OX12 8BL,439740,187823,http://www.whitehorsedc.gov.uk/sites/default/files/P15V2041FUL.png,0.09,not owned by a public authority,,permissioned,,,,10,,,,,08/12/2017,08/12/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/vale-of-white-horse,Vale of White Horse District Council,P15/V2117/FUL,47 West Way Oxford       OX2 0JF,448740,206221,http://www.whitehorsedc.gov.uk/sites/default/files/P15V2117FUL.png,0.1,not owned by a public authority,,permissioned,,,,11,,,,,08/12/2017,08/12/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/vale-of-white-horse,Vale of White Horse District Council,P15/V2490/FUL,Former H & L Site Limborough Road Wantage     OX12 9AJ,439853,188209,http://www.whitehorsedc.gov.uk/sites/default/files/P15V2490FUL.png,0.15,not owned by a public authority,,permissioned,,,,14,,,,,08/12/2017,08/12/2017,,,
