address,address-text,deliverable,end-date,entry-date,hazardous-substances,hectares,latitude,longitude,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate,site-plan-url,start-date
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/borough-council/ashford,Ashford Borough Council,AG7c,"""Newton Works, Ashfords-Phase 2""",601769,141612,https://www.ashford.gov.uk/media/5753/ag7c.pdf,7.7,not owned by a public authority,,not permissioned,,,,350,,,,,26/02/2018,26/02/2018,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/borough-council/ashford,Ashford Borough Council,BE16,"""Former Ashford South Primary School""",600116.511,141826.804,https://www.ashford.gov.uk/media/5754/be16.pdf,2.79,owned by public authority,,not permissioned,,,,110,,,,,26/02/2018,26/02/2018,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/borough-council/ashford,Ashford Borough Council,BE17,"""K College, Jemmett Road, Ashford""",600246.156,141751.398,https://www.ashford.gov.uk/media/5755/be17.pdf,3.82,not owned by a public authority,,Permissioned,,,,241,,,,,26/02/2018,26/02/2018,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/borough-council/ashford,Ashford Borough Council,DW32,"""Fair View, Faversham Road, Challock""",601005.725,151041.008,https://www.ashford.gov.uk/media/5756/dw32.pdf,0.486,not owned by a public authority,,Permissioned,,,,6,,,,,26/02/2018,26/02/2018,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/borough-council/ashford,Ashford Borough Council,NO1,"""Land at Former Concorde House (Rigden Rd & Austin Road), Ashford""",600573.357,141031.155,https://www.ashford.gov.uk/media/5757/no1.pdf,0.403,not owned by a public authority,,Permissioned,,,,14,,,,,26/02/2018,26/02/2018,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/borough-council/ashford,Ashford Borough Council,NW3,"""Land Adjacent to Julie Rose Stadium, Ashford""",602943.931,143817.974,https://www.ashford.gov.uk/media/5758/nw3.pdf,4.5,not owned by a public authority,,Permissioned,,,,300,,,,,26/02/2018,26/02/2018,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/borough-council/ashford,Ashford Borough Council,ST3,"""Lower Queens Road (Policy U4), Ashford""",601384.212,143208.109,https://www.ashford.gov.uk/media/5760/st3.pdf,4,not owned by a public authority,,not permissioned,,,,40,,,,,26/02/2018,26/02/2018,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/borough-council/ashford,Ashford Borough Council,ST8,"""Land at Henwood Industrial Estate off Kennard Way, Ashford""",601915.824,142874.832,https://www.ashford.gov.uk/media/5761/st8.pdf,1,not owned by a public authority,,not permissioned,,,,25,,,,,26/02/2018,26/02/2018,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/borough-council/ashford,Ashford Borough Council,VC1 & VC2,"""Former Powergen Site""",600477.372,142419.014,https://www.ashford.gov.uk/media/5763/vc1andvc2.pdf,0.75,not owned by a public authority,,Permissioned,,,,400,,,,,26/02/2018,26/02/2018,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/borough-council/ashford,Ashford Borough Council,VC1 & VC2,"""Former Powergen Site""",600477.372,142419.014,https://www.ashford.gov.uk/media/5763/vc1andvc2.pdf,0.48,not owned by a public authority,,Permissioned,,,,260,,,,,26/02/2018,26/02/2018,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/borough-council/ashford,Ashford Borough Council,VC60,"""Elwick Place (Policy TC3)  (Land south of Elwick Road & County Square Former Market)""",600839.852,142461.347,https://www.ashford.gov.uk/media/5770/vc60.pdf,1.01,not owned by a public authority,,pending decision,,,,200,,,,,26/02/2018,26/02/2018,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/borough-council/ashford,Ashford Borough Council,VC17,Gasworks Lane (Policy TC14),600358.31,142498.389,https://www.ashford.gov.uk/media/5766/vc17.pdf,2.307,not owned by a public authority,,not permissioned,,,,150,,,,,26/02/2018,26/02/2018,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/borough-council/ashford,Ashford Borough Council,VC3,"""Land at Victoria Way East""",600948.331,142184.858,https://www.ashford.gov.uk/media/5764/vc3.pdf,2.401,not owned by a public authority,,Permissioned,,,,216,,,,,26/02/2018,26/02/2018,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/borough-council/ashford,Ashford Borough Council,VC4,"""Leacon Road, Ashford""",599471.956,142460.024,https://www.ashford.gov.uk/media/5765/vc4.pdf,2.014,not owned by a public authority,,not permissioned,,,,100,,,,,26/02/2018,26/02/2018,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/borough-council/ashford,Ashford Borough Council,VC50,"""Former Wyvern School, Clockhouse Lane, Brookfield""",599551.331,142370.066,https://www.ashford.gov.uk/media/5767/vc50.pdf,1.2,owned by public authority,,not permissioned,,,,35,,,,,26/02/2018,26/02/2018,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/borough-council/ashford,Ashford Borough Council,VC54,"""Ashford College, Western Avenue, Ashford""",600495.321,143092.414,https://www.ashford.gov.uk/media/5768/vc54.pdf,0.1237,not owned by a public authority,,Permissioned,,,,7,,,,,26/02/2018,26/02/2018,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/borough-council/ashford,Ashford Borough Council,VC57 & VC59,"""Former Travis Perkins Trading Co Limited, Victoria Crescent, Ashford""",600875.303,142146.976,https://www.ashford.gov.uk/media/5769/vc57andvc59.pdf,0.186,not owned by a public authority,,Permissioned,,,,31,,,,,26/02/2018,26/02/2018,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/borough-council/ashford,Ashford Borough Council,WC37,"""Linden Garage, High Halden""",591482.425,138097.355,https://www.ashford.gov.uk/media/5771/wc37.pdf,0.86,not owned by a public authority,,not permissioned,,,,5,,,,,26/02/2018,26/02/2018,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/borough-council/ashford,Ashford Borough Council,WC45 & WC46,"""Kent Country Council Depot Site, High Halden""",589049.795,137150.166,https://www.ashford.gov.uk/media/5772/wc45andwc46.pdf,1.226,owned by public authority,,pending decision,,,,25,,,,,26/02/2018,26/02/2018,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/borough-council/ashford,Ashford Borough Council,WC55,"""Precinct 13, Ashford Road, High Halden""",589908.368,137249.385,https://www.ashford.gov.uk/media/5773/wc55.pdf,1.51,not owned by a public authority,,pending decision,,,,10,,,,,26/02/2018,26/02/2018,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/borough-council/ashford,Ashford Borough Council,WC77,"""Thorne Yard, Pluckley (NP Site Ref 3)""",591821.406,144846.187,https://www.ashford.gov.uk/media/5774/wc77.pdf,0.219,not owned by a public authority,,Permissioned,,,,4,,,,,26/02/2018,26/02/2018,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/borough-council/ashford,Ashford Borough Council,WY3,"Land at Olantigh Road and Oppupation Road""",605810.467,147292.468,https://www.ashford.gov.uk/media/5777/wy3.pdf,1.5,not owned by a public authority,,pending decision,,,,52,,,,,26/02/2018,26/02/2018,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/borough-council/ashford,Ashford Borough Council,WY24,"""Former Naccolt Brickworks""",605023.848,144491.789,https://www.ashford.gov.uk/media/5778/wy24.pdf,1.2,not owned by a public authority,,Permissioned,,,,8,,,,,26/02/2018,26/02/2018,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/borough-council/ashford,Ashford Borough Council,WS77,"""Garage Blocks and land between 26 and 31 Brattle""",594613.99,133690.811,https://www.ashford.gov.uk/media/5776/ws77.pdf,0.27,owned by public authority,,Permissioned,,,,4,,,,,26/02/2018,26/02/2018,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/borough-council/ashford,Ashford Borough Council,TN4,"""Mercers of Tenterden""",588253.924,133496.276,https://www.ashford.gov.uk/media/5762/tn4.pdf,0.14,not owned by a public authority,,Permissioned,,,,5,,,,,26/02/2018,26/02/2018,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/borough-council/ashford,Ashford Borough Council,WS14,"""TK Banbury Transport, LTD, Blindgrooms Lane""",598266.514,138447.397,https://www.ashford.gov.uk/media/5775/ws14.pdf,0.7,not owned by a public authority,,Permissioned,,,,4,,,,,26/02/2018,26/02/2018,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/borough-council/ashford,Ashford Borough Council,SS8,"""Builders Yard, Plain Road, Smeeth""",608364.478,140082.582,https://www.ashford.gov.uk/media/5759/ss8.pdf,0.41,not owned by a public authority,,Permissioned,,,,7,,,,,26/02/2018,26/02/2018,,,
